symbol,date,open,low,high,close,volume
AMD,2020-07-17 09:30:00,55.4596,55.1123,55.5292,55.6431,1902597
AMD,2020-07-17 09:35:00,55.2921,55.4487,55.9469,55.6082,1802266
AMD,2020-07-17 09:40:00,55.6326,54.8703,55.5734,54.7104,1594743
AMD,2020-07-17 09:45:00,54.8587,54.822,55.2055,54.9134,956950
AMD,2020-07-17 09:50:00,54.8999,55.0553,55.2823,55.2113,829667
AMD,2020-07-17 09:55:00,54.8733,55.1288,55.2274,55.0131,739090
AMD,2020-07-17 10:00:00,54.9146,54.9992,55.495,55.3634,951445
AMD,2020-07-17 10:05:00,54.8983,55.131,55.4221,55.1888,666409
AMD,2020-07-17 10:10:00,55.3512,54.9247,55.4146,55.1729,414203
AMD,2020-07-17 10:15:00,55.0462,55.0942,55.3005,55.357,784565
AMD,2020-07-17 10:20:00,55.3884,55.0667,55.3873,55.3422,577694
AMD,2020-07-17 10:25:00,55.2327,54.8787,55.131,54.8255,1114420
AMD,2020-07-17 10:30:00,55.0132,54.7952,55.1419,54.6177,652733
AMD,2020-07-17 10:35:00,54.8344,54.8587,54.9855,54.8583,780534
AMD,2020-07-17 10:40:00,54.777,54.9112,54.9693,54.6574,321437
AMD,2020-07-17 10:45:00,54.8501,54.6527,55.064,54.8448,864497
AMD,2020-07-17 10:50:00,54.7217,54.8696,54.8234,54.743,367617
AMD,2020-07-17 10:55:00,54.7701,54.9427,54.8933,54.7583,437504
AMD,2020-07-17 11:00:00,54.9544,54.8094,54.9988,54.9159,422251
AMD,2020-07-17 11:05:00,54.6996,54.8876,55.1681,54.9359,349955
AMD,2020-07-17 11:10:00,55.0753,54.8671,55.0852,55.1254,592232
AMD,2020-07-17 11:15:00,55.293,54.9373,55.1097,55.027,273112
AMD,2020-07-17 11:20:00,54.9754,55.0778,55.1163,55.13,237940
AMD,2020-07-17 11:25:00,55.0401,55.1058,55.4099,55.4947,399483
AMD,2020-07-17 11:30:00,55.1962,55.1118,55.1718,55.2185,371052
AMD,2020-07-17 11:35:00,55.2162,55.1731,55.266,55.1426,161075
AMD,2020-07-17 11:40:00,55.1395,55.0572,55.2856,55.0388,334139
AMD,2020-07-17 11:45:00,55.119,54.9513,55.0615,55.0816,314171
AMD,2020-07-17 11:50:00,55.1744,55.0521,55.0754,55.3005,223010
AMD,2020-07-17 11:55:00,55.299,55.1144,55.181,55.5071,378474
AMD,2020-07-17 12:00:00,55.4748,54.876,55.3376,55.3352,215984
AMD,2020-07-17 12:05:00,55.0865,55.2991,55.2773,55.2167,346692
AMD,2020-07-17 12:10:00,55.4089,55.2164,55.2965,55.4146,238092
AMD,2020-07-17 12:15:00,55.1979,55.3508,55.5304,55.1436,230757
AMD,2020-07-17 12:20:00,55.3596,55.2643,55.224,55.2643,247869
AMD,2020-07-17 12:25:00,55.3232,55.1622,55.3035,55.3956,212375
AMD,2020-07-17 12:30:00,55.3001,55.2354,55.3248,55.2132,226195
AMD,2020-07-17 12:35:00,55.1175,54.8511,55.1817,54.9876,287552
AMD,2020-07-17 12:40:00,54.9928,55.2851,55.1447,55.3455,205351
AMD,2020-07-17 12:45:00,55.3515,55.1882,55.4285,55.2337,286650
AMD,2020-07-17 12:50:00,55.3189,54.9553,55.2653,54.9499,354599
AMD,2020-07-17 12:55:00,55.0633,55.0865,55.2181,55.0288,349747
AMD,2020-07-17 13:00:00,55.1543,54.6682,55.0006,55.0742,207109
AMD,2020-07-17 13:05:00,55.1234,55.1511,55.0042,55.087,197437
AMD,2020-07-17 13:10:00,54.8312,54.8501,55.099,54.8051,282969
AMD,2020-07-17 13:15:00,54.8423,54.6752,54.8063,54.8943,480827
AMD,2020-07-17 13:20:00,54.8533,54.9417,54.985,55.1237,210878
AMD,2020-07-17 13:25:00,55.1847,54.9233,55.1343,54.9732,238238
AMD,2020-07-17 13:30:00,55.0572,54.9353,55.0783,54.8967,164208
AMD,2020-07-17 13:35:00,54.8994,54.8479,54.8511,54.9732,169107
AMD,2020-07-17 13:40:00,54.8822,54.9226,54.9244,54.9,130114
AMD,2020-07-17 13:45:00,54.8449,54.9208,54.9531,55.1656,185590
AMD,2020-07-17 13:50:00,54.9087,55.0287,55.1016,55.0224,179673
AMD,2020-07-17 13:55:00,55.1114,54.9227,54.985,54.8839,150362
AMD,2020-07-17 14:00:00,54.9178,54.957,55.0674,55.0667,404919
AMD,2020-07-17 14:05:00,55.0501,55.0204,55.1977,55.1446,212711
AMD,2020-07-17 14:10:00,55.102,54.9558,55.2331,54.9123,281681
AMD,2020-07-17 14:15:00,55.1552,55.2951,55.3627,55.176,191777
AMD,2020-07-17 14:20:00,55.4127,55.0741,55.2633,55.2415,205332
AMD,2020-07-17 14:25:00,55.2864,55.3039,55.2364,55.0876,174447
AMD,2020-07-17 14:30:00,55.1802,54.9976,55.0793,54.9552,170909
AMD,2020-07-17 14:35:00,55.1079,54.9885,55.2832,55.1169,458127
AMD,2020-07-17 14:40:00,55.1187,55.1221,55.1104,55.1983,300920
AMD,2020-07-17 14:45:00,55.1783,55.1774,55.2059,55.3902,201079
AMD,2020-07-17 14:50:00,55.1094,55.2393,55.2891,54.9614,249577
AMD,2020-07-17 14:55:00,55.2861,55.0125,55.4553,55.0482,214248
AMD,2020-07-17 15:00:00,54.9603,55.0424,55.1891,54.9473,424028
AMD,2020-07-17 15:05:00,55.0871,55.0178,55.0333,54.8888,277507
AMD,2020-07-17 15:10:00,55.1373,54.9387,55.2205,55.1447,205614
